country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Nigeria Global Rank
Nigeria,2030,262380970,2.01%,4970638,24085,19.3,3.82,288,59.6%,156299881,3.1%,8569124911,6
Nigeria,2035,287685763,1.86%,5060959,35506,20.5,3.41,316,64.3%,184887647,3.2%,8885210181,6
Nigeria,2040,312710416,1.68%,5004931,41202,21.7,3.1,343,69.1%,216083536,3.4%,9177190203,5
Nigeria,2045,336662502,1.49%,4790417,44157,22.7,2.85,370,74.3%,250285391,3.6%,9439639668,5
Nigeria,2050,359185556,1.3%,4504611,56965,23.9,2.66,394,79.9%,287130349,3.7%,9664378587,5
