country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Japan Global Rank
Japan,2030,119584121,−0.58%,−703872,123993,51.5,1.26,328,94.3%,112710068,1.4%,8569124911,15
Japan,2035,115876149,−0.63%,−741594,116871,52.5,1.29,318,95.3%,110450118,1.3%,8885210181,15
Japan,2040,112158303,−0.65%,−743569,118186,53.1,1.31,308,96.3%,107981843,1.2%,9177190203,15
Japan,2045,108551995,−0.65%,−721262,113424,53,1.33,298,97.2%,105471938,1.1%,9439639668,17
Japan,2050,105123167,−0.64%,−685766,119363,52.8,1.35,288,98%,103038909,1.1%,9664378587,17
