country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,China Global Rank
China,2030,1398153832,−0.25%,−3588452,−199192,42.9,1.06,149,72.8%,1017847445,16.3%,8569124911,2
China,2035,1373427531,−0.36%,−4945260,−213426,45.8,1.1,146,77.2%,1059618626,15.5%,8885210181,2
China,2040,1342816657,−0.45%,−6122175,−206247,48.6,1.13,143,80.7%,1083464035,14.6%,9177190203,2
China,2045,1306113788,−0.55%,−7340574,−191600,50.6,1.16,139,83.6%,1092037409,13.8%,9439639668,2
China,2050,1260289093,−0.71%,−9164939,−171498,52.1,1.18,134,86.6%,1091948003,13%,9664378587,2
