country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Bangladesh Global Rank
Bangladesh,2030,186072407,1.16%,2077102,−294833,27.7,2.01,1429,45.5%,84688911,2.2%,8569124911,8
Bangladesh,2035,195130372,0.96%,1811593,−324351,29.6,1.94,1499,48.2%,93957922,2.2%,8885210181,8
Bangladesh,2040,202589429,0.75%,1491811,−331839,31.7,1.88,1556,50.6%,102422390,2.2%,9177190203,8
Bangladesh,2045,209029594,0.63%,1288033,−305766,33.7,1.83,1606,52.8%,110433246,2.2%,9439639668,8
Bangladesh,2050,214709097,0.54%,1135901,−308070,35.5,1.81,1649,54.9%,117836927,2.2%,9664378587,10
