country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,U.S. Global Rank
United States,2030,355649881,0.48%,1674815,1194626,39.6,1.63,39,84.6%,301000560,4.2%,8569124911,3
United States,2035,363284716,0.43%,1526967,1233901,40.5,1.63,40,86.4%,313969203,4.1%,8885210181,3
United States,2040,370209316,0.38%,1384920,1228832,40.8,1.64,40,88%,325949179,4%,9177190203,3
United States,2045,376106472,0.32%,1179431,1239774,41.2,1.64,41,89.6%,336913503,4%,9439639668,3
United States,2050,380846910,0.25%,948088,1277326,41.9,1.64,42,91.2%,347346215,3.9%,9664378587,3
