country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,India Global Rank
India,2030,1525138844,0.82%,12254664,−388547,30.8,1.88,513,39.8%,607341981,17.8%,8569124911,1
India,2035,1578694796,0.69%,10711190,−370451,32.7,1.84,531,42.8%,675456367,17.8%,8885210181,1
India,2040,1622580039,0.55%,8777049,−399517,34.7,1.8,546,45.9%,744380367,17.7%,9177190203,1
India,2045,1656067583,0.41%,6697509,−368009,36.5,1.78,557,49%,811749463,17.5%,9439639668,1
India,2050,1679589259,0.28%,4704335,−371956,38.3,1.76,565,52.2%,876613025,17.4%,9664378587,1
