country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Indonesia Global Rank
Indonesia,2030,295876648,0.7%,2031082,−41939,31.8,2.01,163,62.8%,185755185,3.5%,8569124911,4
Indonesia,2035,304566622,0.58%,1737995,−47700,33.1,1.95,168,65.7%,200062259,3.4%,8885210181,4
Indonesia,2040,311797395,0.47%,1446155,−48132,34.3,1.91,172,68.3%,212896712,3.4%,9177190203,6
Indonesia,2045,317249613,0.35%,1090444,−48279,35.5,1.87,175,70.7%,224183450,3.4%,9439639668,6
Indonesia,2050,320712949,0.22%,692667,−44888,36.8,1.85,177,73%,234104967,3.3%,9664378587,6
