country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Pakistan Global Rank
Pakistan,2030,276883255,1.64%,4332740,−769020,21.6,3.25,359,35.9%,99359685,3.2%,8569124911,5
Pakistan,2035,300643508,1.66%,4752051,−672743,22.8,3.04,390,37.4%,112484070,3.4%,8885210181,5
Pakistan,2040,324937697,1.57%,4858838,−668197,24,2.87,422,39.2%,127361588,3.5%,9177190203,4
Pakistan,2045,348837726,1.43%,4780006,−537108,25.1,2.71,453,41.2%,143649422,3.7%,9439639668,4
Pakistan,2050,371863793,1.29%,4605213,−507801,26.3,2.58,482,43.1%,160228128,3.8%,9664378587,4
