country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Argentina Global Rank
Argentina,2030,46585022,0.32%,146729,940,34.9,1.51,17,98.7%,45993580,0.54%,8569124911,37
Argentina,2035,47251994,0.28%,133394,432,36.7,1.52,17,–,–,0.53%,8885210181,37
Argentina,2040,47817645,0.24%,113130,491,38.5,1.52,17,–,–,0.52%,9177190203,38
Argentina,2045,48191841,0.16%,74839,560,40.1,1.53,18,–,–,0.51%,9439639668,40
Argentina,2050,48308944,0.05%,23421,612,41.9,1.54,18,–,–,0.5%,9664378587,43
