country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Mexico Global Rank
Mexico,2030,136904738,0.74%,991568,−106319,31.5,1.79,70,90%,123197865,1.6%,8569124911,11
Mexico,2035,141150819,0.61%,849216,−103866,33.3,1.76,73,92%,129794502,1.6%,8885210181,11
Mexico,2040,144624323,0.49%,694701,−106910,35.1,1.73,74,93.8%,135640826,1.6%,9177190203,12
Mexico,2045,147240092,0.36%,523154,−101019,36.9,1.71,76,95.6%,140697068,1.6%,9439639668,12
Mexico,2050,148946274,0.23%,341236,−98661,38.7,1.7,77,97.3%,144909934,1.5%,9664378587,12
